term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
41	Gmina	WIELICZKA-KRAKOW	0	-3.46944695195361e-18	-0.168935679768378	0.168935679768378	1	goat	1	FALSE
42	Gmina	WIELICZKA-NIEPOLOMICE	0	-0.0833333333333333	-0.252269013101712	0.085602346435045	0.454799075990681	goat	0.795898382983691	FALSE
43	group	lockdown-	0	0.0222222222222222	-0.000178235190780449	0.0446226796352249	0.0517425083128292	hare	0.181098779094902	FALSE
44	Gmina	WIELICZKA-NIEPOLOMICE	0	0.0190476190476191	-0.00961574557964789	0.047710983674886	0.246744594363306	hare	0.690884864217257	FALSE
45	group	lockdown-	0	-0.00836320191158902	-0.0432231558914353	0.0264967520682573	0.628402283664681	hedgehog	0.935219809758972	FALSE
46	Gmina	WIELICZKA-NIEPOLOMICE	0	-3.46944695195361e-18	-0.0446063914406533	0.0446063914406533	1	hedgehog	1	FALSE
47	group	lockdown-	0	-0.037037037037037	-0.169060494485167	0.0949864204110929	0.571701255125655	horse	0.873143735101	FALSE
48	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333334	-0.252269013101712	0.085602346435045	0.454799075990681	horse	0.795898382983691	FALSE
49	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333334	-0.252269013101712	0.0856023464350449	0.45479907599068	horse	0.795898382983691	FALSE
50	Gmina	WIELICZKA-NIEPOLOMICE	0	-3.46944695195361e-17	-0.168935679768378	0.168935679768378	1	horse	1	FALSE
51	group	lockdown-	0	-0.037037037037037	-0.169060494485167	0.094986420411093	0.571701255125655	jackal	0.873143735101	FALSE
52	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333334	-0.252269013101712	0.0856023464350449	0.45479907599068	jackal	0.795898382983691	FALSE
53	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333334	-0.252269013101712	0.0856023464350449	0.454799075990681	jackal	0.795898382983691	FALSE
54	Gmina	WIELICZKA-NIEPOLOMICE	0	3.46944695195361e-17	-0.168935679768378	0.168935679768378	1	jackal	1	FALSE
55	group	lockdown-	0	-0.037037037037037	-0.169060494485167	0.0949864204110929	0.571701255125655	moose	0.873143735101	FALSE
56	Gmina	NIEPOLOMICE-KRAKOW	0	0.0833333333333333	-0.085602346435045	0.252269013101712	0.454799075990681	moose	0.795898382983691	FALSE
57	Gmina	WIELICZKA-KRAKOW	0	-3.46944695195361e-18	-0.168935679768378	0.168935679768378	1	moose	1	FALSE
58	Gmina	WIELICZKA-NIEPOLOMICE	0	-0.0833333333333333	-0.252269013101712	0.085602346435045	0.454799075990681	moose	0.795898382983691	FALSE
59	group	lockdown-	0	0.037037037037037	-0.0558401243135423	0.129914198387616	0.422634565145681	racoon.dog	0.795898382983691	FALSE
60	Gmina	NIEPOLOMICE-KRAKOW	0	0.0416666666666667	-0.0771778681682277	0.160511201501561	0.668014149827837	racoon.dog	0.935219809758972	FALSE
61	Gmina	WIELICZKA-KRAKOW	0	0.0416666666666667	-0.0771778681682277	0.160511201501561	0.668014149827837	racoon.dog	0.935219809758972	FALSE
