A_location	A_lockdown	B_location	B_lockdown	FDR	A_time	B_time	significance
KRAKOW	FALSE	KRAKOW	FALSE	0.0395604395604396	2000_0000	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	0800_1200	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0447854032759693	2000_0000	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	0800_1200	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0423861852433281	2000_0000	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.015615962984384	1200_1600	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.0273879966187658	2000_0000	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	TRUE	0.0489968746849481	2000_0000	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	1200_1600	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.0423861852433281	1600_2000	0800_1200	TRUE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.0334313573750194	2000_0000	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0423861852433281	1200_1600	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0334313573750194	1600_2000	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0423861852433281	2000_0000	0800_1200	TRUE
KRAKOW	FALSE	WIELICZKA	FALSE	0.015615962984384	1200_1600	0800_1200	TRUE
NIEPOLOMICE	FALSE	WIELICZKA	FALSE	0.0273879966187658	1200_1600	0800_1200	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.0228233305156382	1600_2000	0800_1200	TRUE
NIEPOLOMICE	FALSE	WIELICZKA	FALSE	0.015615962984384	2000_0000	0800_1200	TRUE
NIEPOLOMICE	TRUE	WIELICZKA	FALSE	0.0273879966187658	2000_0000	0800_1200	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.0228233305156382	2000_0000	0800_1200	TRUE
WIELICZKA	TRUE	WIELICZKA	FALSE	0.0447854032759693	2000_0000	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0228233305156382	1200_1600	1200_1600	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0273879966187658	1200_1600	1200_1600	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	1200_1600	1200_1600	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0395604395604396	1200_1600	1200_1600	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	1600_2000	1200_1600	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0385328956757528	1600_2000	1200_1600	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	1600_2000	1200_1600	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0228233305156382	1600_2000	1200_1600	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	1200_1600	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0447854032759693	2000_0000	1200_1600	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	1200_1600	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0489968746849481	2000_0000	1200_1600	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.0228233305156382	1600_2000	1200_1600	TRUE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.0334313573750194	1600_2000	1200_1600	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	2000_0000	1200_1600	TRUE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0423861852433281	1600_2000	1200_1600	TRUE
NIEPOLOMICE	FALSE	WIELICZKA	FALSE	0.0228233305156382	2000_0000	1200_1600	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.0228233305156382	2000_0000	1200_1600	TRUE
WIELICZKA	TRUE	WIELICZKA	FALSE	0.0423861852433281	2000_0000	1200_1600	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0273879966187658	1600_2000	1600_2000	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0385328956757528	1600_2000	1600_2000	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	1600_2000	1600_2000	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0334313573750194	1600_2000	1600_2000	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0228233305156382	2000_0000	1600_2000	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0395604395604396	2000_0000	1600_2000	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	1600_2000	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0273879966187658	2000_0000	1600_2000	TRUE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.0334313573750194	2000_0000	1600_2000	TRUE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0273879966187658	2000_0000	1600_2000	TRUE
NIEPOLOMICE	FALSE	WIELICZKA	FALSE	0.0273879966187658	2000_0000	1600_2000	TRUE
KRAKOW	FALSE	WIELICZKA	TRUE	0.0447854032759693	2000_0000	1600_2000	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	2000_0000	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0395604395604396	2000_0000	2000_0000	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	2000_0000	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0385328956757528	2000_0000	2000_0000	TRUE
KRAKOW	TRUE	KRAKOW	FALSE	0.711851023228269	0000_0400	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.710889110889111	0000_0400	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.182988817350051	0000_0400	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.683760683760684	0000_0400	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	FALSE	0.157321748019422	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.711851023228269	0400_0800	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.968464633957592	0400_0800	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	FALSE	0.215949188426253	0400_0800	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.646235751825814	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	1	0800_1200	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.23489010989011	0800_1200	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.101074749426398	0800_1200	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.918546191602249	1200_1600	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.687038371464601	1200_1600	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	FALSE	0.358549102612427	1200_1600	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.874437038371465	1200_1600	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	FALSE	0.0584415584415584	1600_2000	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0800916874536506	1600_2000	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.676777767686859	1600_2000	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	FALSE	0.536148062463852	1600_2000	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.61808046423431	1600_2000	0000_0400	FALSE
