term	A_lockdown	A_region	B_lockdown	B_region	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
32	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.00892408245349422	-0.0148704057408967	-0.00297775916609176	0.000360667720913588	red.fox	0.00378701106959267	TRUE
33	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.00999245852187029	-0.017245278807604	-0.0027396382361366	0.00143825502632888	red.fox	0.0100677851843022	TRUE
34	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.00800833153774331	-0.0139939812587647	-0.00202268181672194	0.00220102102978548	red.fox	0.0150722092257049	TRUE
35	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.00999245852187029	-0.017245278807604	-0.0027396382361366	0.00143825502632888	red.fox	0.0100677851843022	TRUE
36	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00426415756604436	-0.00659341346113469	-0.00193490167095403	5.58300153485902e-06	roe.deer	9.49434046558433e-05	TRUE
37	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.00365199623959732	-0.00601135960590725	-0.00129263287328739	0.000206926174809663	roe.deer	0.00232791946660871	TRUE
38	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.00485980633039457	-0.00812124884230124	-0.00159836381848789	0.000408357992179198	roe.deer	0.00401977398551398	TRUE
39	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.00424764500394753	-0.00753065729876831	-0.000964632709126741	0.00347988825646217	roe.deer	0.0233226553358635	TRUE
40	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0150902556562934	-0.0253805931732382	-0.00479991813934856	0.000535885439626571	squirrel	0.00456226793195594	TRUE
41	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.0161725067385445	-0.0265958549913576	-0.00574915848573137	0.000197991747950543	squirrel	0.00230990372608967	TRUE
42	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00955578512396694	-0.0142885108395739	-0.00482305940836003	3.96998617424593e-07	wild.boar	1.13685967717043e-05	TRUE
43	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0106534090909091	-0.0172727745724345	-0.00403404360938372	9.80538013820587e-05	wild.boar	0.00128695614313952	TRUE
44	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.00974025974025974	-0.0145341596718784	-0.00494635980864106	3.30070252685388e-07	wild.boar	1.03972129595897e-05	TRUE
45	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.00994318181818182	-0.0165625472997072	-0.00332381633665644	0.000354989478935974	wild.boar	0.00378701106959267	TRUE
46	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0108926835196889	-0.0175194834683805	-0.0042658835709972	6.40370519446876e-05	wild.boar	0.000877029189677243	TRUE
47	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.011990307486631	-0.0200731154293464	-0.00390749954391565	0.00044095449723891	wild.boar	0.00408531372441931	TRUE
48	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.0110771581359817	-0.0177477848992766	-0.00440653137268674	5.18093901632488e-05	wild.boar	0.000741816268246517	TRUE
49	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.0112800802139037	-0.0193628881566191	-0.00319727227118838	0.00118446073934386	wild.boar	0.00867686355565852	TRUE
50	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	-0.0128916588406045	-0.0288967945952204	0.00311347691401152	0.191411836348817	badger	0.837426784026074	FALSE
51	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0174165457184325	-0.0337959973113879	-0.00103709412547714	0.0299193182655566	badger	0.162492849200868	FALSE
52	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.0174165457184325	-0.0337959973113879	-0.00103709412547714	0.0299193182655566	badger	0.162492849200868	FALSE
53	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.00452488687782805	-0.0209227348707722	0.0118729611151161	0.968111818147177	badger	1	FALSE
54	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.00452488687782805	-0.0245255896343637	0.0154758158787076	0.98676946834997	badger	1	FALSE
55	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.00452488687782805	-0.0210311832092528	0.0119814094535967	0.969006727120197	badger	1	FALSE
56	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.00452488687782805	-0.0245255896343637	0.0154758158787076	0.98676946834997	badger	1	FALSE
57	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	0	-0.0167633971128164	0.0167633971128164	1	badger	1	FALSE
58	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	0	-0.0123871381112626	0.0123871381112626	1	badger	1	FALSE
59	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	0	-0.0167633971128164	0.0167633971128164	1	badger	1	FALSE
60	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.0168694956220714	0.0168694956220714	1	badger	1	FALSE
61	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.0203014820817982	0.0203014820817982	1	badger	1	FALSE
62	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	0	-0.0168694956220714	0.0168694956220714	1	badger	1	FALSE
63	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	-0.0104821802935011	-0.0294762025273162	0.00851184194031408	0.606497762200742	beaver	1	FALSE
64	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0104821802935011	-0.0243801676295711	0.00341580704256901	0.255826524429974	beaver	1	FALSE
65	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00353773584905661	-0.0229759757055706	0.0159005040074574	0.995155596849598	beaver	1	FALSE
66	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.00254567235699311	-0.0166233021508168	0.0115319574368306	0.99529980732195	beaver	1	FALSE
67	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.0104821802935011	-0.029920420150015	0.00895605956301291	0.630298947512503	beaver	1	FALSE
68	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	0	-0.0194600717007273	0.0194600717007273	1	beaver	1	FALSE
69	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	0.00694444444444444	-0.0167912987990955	0.0306801876879844	0.959049214895765	beaver	1	FALSE
70	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	0.00793650793650794	-0.0116522643378291	0.027525280210845	0.851930030932943	beaver	1	FALSE
71	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	0	-0.0237357432435399	0.0237357432435399	1	beaver	1	FALSE
72	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	0.00694444444444444	-0.0129494410156197	0.0268383299045086	0.915656461645515	beaver	1	FALSE
