Gmina	year	month	badger	beaver	birds	deer	dog	domestic.cat	goat	hare	hedgehog	horse	jackal	moose	racoon.dog	rat	red.deer	red.fox	roe.deer	squirrel	stone.marten	weasel	wild.boar	mds1	mds2	lockdown
1	KRAKOW	2019	1	0	0	0.0411764705882353	0	0.0595238095238095	0.0422297297297297	0	0.0285714285714286	0	0	0	0	0	0	0	0.0512820512820513	0.0192678227360308	0	0	0	0.0568181818181818	-0.104368181033091	0.207944785756594	FALSE
2	KRAKOW	2019	2	0	0	0.0235294117647059	0	0.0952380952380952	0.0506756756756757	0	0.0285714285714286	0	0	0	0	0	0	0	0.0598290598290598	0.0327552986512524	0	0	1	0.0795454545454545	-0.207094838499151	-0.0513703905577331	FALSE
3	KRAKOW	2019	3	0.153846153846154	0	0.1	0	0.0833333333333333	0.121621621621622	0	0.0571428571428571	0.0645161290322581	0	1	0	0	0	0	0.0427350427350427	0.0385356454720617	0.19047619047619	0.333333333333333	0	0.0340909090909091	-0.320799818299742	-0.0508581732022018	FALSE
4	KRAKOW	2019	4	0.230769230769231	0.222222222222222	0.0882352941176471	0	0.0833333333333333	0.0591216216216216	0	0	0.161290322580645	0	0	0	0	0.214285714285714	0	0.0598290598290598	0.0751445086705202	0.142857142857143	0.666666666666667	0	0.0681818181818182	-0.398028039538315	-0.0576792343838691	FALSE
5	KRAKOW	2019	5	0	0.333333333333333	0.105882352941176	0.6	0.0833333333333333	0.0506756756756757	0	0.0285714285714286	0.209677419354839	0	0	0	0	0.0714285714285714	0	0.0512820512820513	0.0635838150289017	0.0476190476190476	0	0	0.0454545454545455	-0.328312032489547	-0.0592135039424787	FALSE
6	KRAKOW	2019	6	0.153846153846154	0	0.135294117647059	0	0.0357142857142857	0.0878378378378378	0	0.0857142857142857	0.17741935483871	1	0	0	0	0.214285714285714	0	0.0769230769230769	0.0327552986512524	0.0952380952380952	0	0	0.0795454545454545	-0.378831344429133	-0.00418975763827894	FALSE
7	KRAKOW	2020	1	0	0	0.00588235294117647	0	0.0476190476190476	0.0540540540540541	0	0.0857142857142857	0.0161290322580645	0	0	0	0	0.0714285714285714	0	0.0598290598290598	0.0443159922928709	0.142857142857143	0	0	0.0681818181818182	-0.347733485907616	0.199697099810649	FALSE
8	KRAKOW	2020	2	0.230769230769231	0	0.0529411764705882	0	0.0952380952380952	0.0608108108108108	0	0.0285714285714286	0	0	0	0	0	0.0714285714285714	0	0.0683760683760684	0.0404624277456647	0.142857142857143	0	0	0.102272727272727	-0.429800930690908	0.131420446358512	FALSE
9	KRAKOW	2020	3	0	0	0.0941176470588235	0	0.0238095238095238	0.0523648648648649	0	0.114285714285714	0.0161290322580645	0	0	0	0	0.142857142857143	0	0.0341880341880342	0.0327552986512524	0.0476190476190476	0	0	0.0454545454545455	-0.31571091182237	0.176664586399948	TRUE
10	KRAKOW	2020	4	0	0	0.0647058823529412	0	0.0833333333333333	0.0793918918918919	0	0.142857142857143	0.0806451612903226	0	0	0	0	0.0714285714285714	0	0.0598290598290598	0.0539499036608863	0.0476190476190476	0	0	0.102272727272727	-0.408900157713355	0.182811912944817	TRUE
11	KRAKOW	2020	5	0.0769230769230769	0	0.0470588235294118	0.2	0.0238095238095238	0.0625	0	0.0571428571428571	0.0967741935483871	0	0	0	0	0.142857142857143	0	0.094017094017094	0.0500963391136802	0	0	0	0.0681818181818182	-0.385825606834229	0.10080839232318	TRUE
12	KRAKOW	2020	6	0.153846153846154	0	0.0588235294117647	0	0.0595238095238095	0.0456081081081081	0	0.0571428571428571	0.112903225806452	0	0	0	0	0	0	0.0854700854700855	0.0481695568400771	0.0952380952380952	0	0	0.0681818181818182	-0.41274317314093	0.165005225616278	FALSE
13	NIEPOLOMICE	2019	1	0	0	0.0117647058823529	0	0	0.00506756756756757	0	0	0	0	0	0	0	0	0	0	0.00963391136801541	0	0	0	0	0.251398755655824	-0.00224635340457293	FALSE
14	NIEPOLOMICE	2019	2	0	0	0.00588235294117647	0	0.0119047619047619	0.00168918918918919	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.0154142581888247	0	0	0	0	0.326946079905071	0.117262554669339	FALSE
15	NIEPOLOMICE	2019	3	0	0	0	0.2	0.0119047619047619	0.00675675675675676	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.0154142581888247	0	0	0	0	0.0383081361731552	-0.119998593286243	FALSE
16	NIEPOLOMICE	2019	4	0	0	0.00588235294117647	0	0.0238095238095238	0.00337837837837838	0	0	0	0	0	0	0	0	0	0	0.0192678227360308	0	0	0	0.0568181818181818	0.146887360348121	0.0997520603485686	FALSE
17	NIEPOLOMICE	2019	5	0	0	0.0176470588235294	0	0.0119047619047619	0.00337837837837838	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.023121387283237	0	0	0	0	0.36683114576426	0.122403633988432	FALSE
18	NIEPOLOMICE	2019	6	0	0	0.0117647058823529	0	0	0.0101351351351351	1	0	0	0	0	1	0	0	0	0.0256410256410256	0.00963391136801541	0	0	0	0.0113636363636364	-0.0593552675940748	-0.245255898741741	FALSE
19	NIEPOLOMICE	2020	1	0	0	0	0	0.0119047619047619	0.00337837837837838	0	0	0	0	0	0	0	0	0.5	0.00854700854700855	0.0134874759152216	0	0	0	0	0.00167097383042222	-0.42953925220628	FALSE
20	NIEPOLOMICE	2020	2	0	0	0	0	0.0119047619047619	0.00168918918918919	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.0250481695568401	0.0476190476190476	0	0	0.0113636363636364	0.176341859577374	0.0869277184032983	FALSE
21	NIEPOLOMICE	2020	3	0	0	0	0	0	0.00506756756756757	0	0	0	0	0	0	0.5	0	0	0.0170940170940171	0.023121387283237	0	0	0	0	-0.0118755020769058	-0.395890685405283	TRUE
22	NIEPOLOMICE	2020	4	0	0	0.0235294117647059	0	0	0.00337837837837838	0	0	0	0	0	0	0	0	0	0	0.0404624277456647	0	0	0	0.0113636363636364	0.226497647302665	0.0847999954525644	TRUE
23	NIEPOLOMICE	2020	5	0	0.111111111111111	0	0	0	0.0101351351351351	0	0	0	0	0	0	0	0	0	0	0.023121387283237	0	0	0	0	0.166317396923106	-0.287544570971275	TRUE
24	NIEPOLOMICE	2020	6	0	0	0.0176470588235294	0	0	0.00844594594594595	0	0.0285714285714286	0.032258064516129	0	0	0	0	0	0	0.00854700854700855	0.00963391136801541	0	0	0	0	0.165567039304566	0.15734350047878	FALSE
25	WIELICZKA	2019	1	0	0	0	0	0.0119047619047619	0.0101351351351351	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.0154142581888247	0	0	0	0.0113636363636364	0.353370886486643	0.0989737227259324	FALSE
26	WIELICZKA	2019	2	0	0.111111111111111	0.00588235294117647	0	0.0238095238095238	0.0219594594594595	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.0154142581888247	0	0	0	0	0.175983389042017	-0.169040958077015	FALSE
27	WIELICZKA	2019	3	0	0	0.00588235294117647	0	0.0119047619047619	0.0219594594594595	0	0	0	0	0	0	0	0	0	0	0.0115606936416185	0	0	0	0	0.304993951537992	0.0491154803287422	FALSE
28	WIELICZKA	2019	4	0	0	0	0	0.0238095238095238	0.0253378378378378	0	0	0	0	0	0	0	0	0	0.0341880341880342	0.0289017341040462	0	0	0	0	0.208395145702547	0.114290654713671	FALSE
29	WIELICZKA	2019	5	0	0.111111111111111	0.0176470588235294	0	0.0119047619047619	0.0185810810810811	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.0211946050096339	0	0	0	0.0113636363636364	0.219342780262306	-0.16716279601947	FALSE
30	WIELICZKA	2019	6	0	0.111111111111111	0.0176470588235294	0	0	0.0185810810810811	0	0.0857142857142857	0	0	0	0	0	0	0	0.00854700854700855	0.0154142581888247	0	0	0	0.0113636363636364	0.0930969050790558	-0.0876763945758669	FALSE
31	WIELICZKA	2020	1	0	0	0.0117647058823529	0	0.0119047619047619	0.0101351351351351	0	0	0	0	0	0	0.5	0	0	0.00854700854700855	0.0115606936416185	0	0	0	0.0227272727272727	-0.0120862199824599	-0.373384768565896	FALSE
32	WIELICZKA	2020	2	0	0	0.0117647058823529	0	0.0119047619047619	0.00675675675675676	0	0.0285714285714286	0	0	0	0	0	0	0	0.0170940170940171	0.0192678227360308	0	0	0	0.0113636363636364	0.312107728226504	0.230233846129018	FALSE
33	WIELICZKA	2020	3	0	0	0.00588235294117647	0	0.0119047619047619	0.00844594594594595	0	0.0285714285714286	0	0	0	0	0	0	0	0.0170940170940171	0.0423892100192678	0	0	0	0.0113636363636364	0.263045764999714	0.230083912143745	TRUE
34	WIELICZKA	2020	4	0	0	0.00588235294117647	0	0	0.00337837837837838	0	0.0571428571428571	0	0	0	0	0	0	0	0	0.0173410404624277	0	0	0	0	0.169610937442879	0.148338432075852	TRUE
35	WIELICZKA	2020	5	0	0	0.00588235294117647	0	0.0119047619047619	0.0118243243243243	0	0	0	0	0	0	0	0	0.5	0	0.0192678227360308	0	0	0	0.0113636363636364	0.00456048114770346	-0.407847415539257	TRUE
36	WIELICZKA	2020	6	0	0	0	0	0.0119047619047619	0.0135135135135135	0	0.0571428571428571	0.032258064516129	0	0	0	0	0	0	0.0170940170940171	0.023121387283237	0	0	0	0	0.150191145339904	0.205020785849542	FALSE
