Gmina	year	month	X0000_0400	X0400_0800	X0800_1200	X1200_1600	X1600_2000	X2000_0000	mds1	mds2	lockdown
1	KRAKOW	2019	1	0.05	0.0431372549019608	0.0278293135435993	0.0255754475703325	0.04	0.0425531914893617	-0.328919962336227	0.151911044742149	FALSE
2	KRAKOW	2019	2	0	0.0392156862745098	0.0315398886827458	0.0537084398976982	0.0615384615384615	0.0372340425531915	-0.331176881264959	-0.0377329962748395	FALSE
3	KRAKOW	2019	3	0.1	0.0705882352941176	0.0667903525046382	0.0792838874680307	0.0984615384615385	0.0904255319148936	-0.540430678458494	-0.0979041423014707	FALSE
4	KRAKOW	2019	4	0.175	0.0784313725490196	0.0742115027829314	0.0690537084398977	0.0646153846153846	0.0904255319148936	-0.539114162868586	-0.113720782282645	FALSE
5	KRAKOW	2019	5	0.15	0.0509803921568627	0.0686456400742115	0.0460358056265985	0.0769230769230769	0.111702127659574	-0.525724074362509	-0.0956382653034287	FALSE
6	KRAKOW	2019	6	0.1	0.105882352941176	0.0630797773654917	0.0639386189258312	0.0769230769230769	0.0957446808510638	-0.544745910304725	-0.0987008899767386	FALSE
7	KRAKOW	2020	1	0.05	0.0235294117647059	0.0445269016697588	0.0639386189258312	0.0430769230769231	0.0531914893617021	-0.413378564134509	0.0628553345591849	FALSE
8	KRAKOW	2020	2	0.075	0.0549019607843137	0.0575139146567718	0.0434782608695652	0.0523076923076923	0.0904255319148936	-0.510067713917886	-0.02485594765097	FALSE
9	KRAKOW	2020	3	0	0.0431372549019608	0.0538033395176252	0.0485933503836317	0.0646153846153846	0.0106382978723404	-0.317082334980968	-0.0488702109795308	TRUE
10	KRAKOW	2020	4	0.025	0.0980392156862745	0.0612244897959184	0.0716112531969309	0.0646153846153846	0.0691489361702128	-0.498061660574836	-0.0335687269302054	TRUE
11	KRAKOW	2020	5	0.025	0.0862745098039216	0.0408163265306122	0.061381074168798	0.0461538461538462	0.0904255319148936	-0.476408303369961	-0.000302888126084958	TRUE
12	KRAKOW	2020	6	0.125	0.0509803921568627	0.0612244897959184	0.0485933503836317	0.0461538461538462	0.0585106382978723	-0.504220732529579	-0.0321436720511673	FALSE
13	NIEPOLOMICE	2019	1	0	0.00392156862745098	0.00556586270871985	0.00767263427109974	0.00307692307692308	0.0106382978723404	0.274180219095223	-0.293005756729759	FALSE
14	NIEPOLOMICE	2019	2	0	0.0117647058823529	0.012987012987013	0.00255754475703325	0.00615384615384615	0.00531914893617021	0.296624345267207	-0.121502088873284	FALSE
15	NIEPOLOMICE	2019	3	0	0.00784313725490196	0.00556586270871985	0.010230179028133	0.0123076923076923	0.0106382978723404	0.300229040509617	-0.204180077447839	FALSE
16	NIEPOLOMICE	2019	4	0.025	0.0117647058823529	0.0185528756957328	0.0051150895140665	0.00923076923076923	0.00531914893617021	0.149052340629223	0.309761272333557	FALSE
17	NIEPOLOMICE	2019	5	0	0.0196078431372549	0.012987012987013	0.0051150895140665	0.00923076923076923	0.0106382978723404	0.246255867725849	-0.0941334672692769	FALSE
18	NIEPOLOMICE	2019	6	0	0.00784313725490196	0.0111317254174397	0.020460358056266	0.00615384615384615	0.00531914893617021	0.301263241178755	-0.0793837341426566	FALSE
19	NIEPOLOMICE	2020	1	0	0.00784313725490196	0.00556586270871985	0.010230179028133	0.00615384615384615	0.00531914893617021	0.326909031579953	-0.22102294284482	FALSE
20	NIEPOLOMICE	2020	2	0	0.00392156862745098	0.012987012987013	0.0127877237851662	0.0153846153846154	0	0.293718796338119	-0.0191132082056291	FALSE
21	NIEPOLOMICE	2020	3	0	0	0.012987012987013	0.0230179028132992	0.00307692307692308	0.00531914893617021	0.246151616329774	-0.0244734796053145	TRUE
22	NIEPOLOMICE	2020	4	0.025	0.00784313725490196	0.0204081632653061	0.020460358056266	0.0123076923076923	0.0106382978723404	0.117647846471648	0.287325905104341	TRUE
23	NIEPOLOMICE	2020	5	0.025	0.00392156862745098	0.012987012987013	0.0127877237851662	0.00923076923076923	0.00531914893617021	0.192379692375613	0.275094832587543	TRUE
24	NIEPOLOMICE	2020	6	0.025	0	0.0204081632653061	0.010230179028133	0.00307692307692308	0	0.101437447941769	0.404029181397656	FALSE
25	WIELICZKA	2019	1	0	0.00784313725490196	0.0111317254174397	0.010230179028133	0.0153846153846154	0	0.298506407768049	-0.0716949041982141	FALSE
26	WIELICZKA	2019	2	0	0.0196078431372549	0.0204081632653061	0.0153452685421995	0.0184615384615385	0	0.174567965390042	0.102910057678776	FALSE
